"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","53","Tentar criar um novo produto que a quantidade tenha casas décimais 13.6","Testes da API de Produtos","Sat May 31 12:25:36 GMT 2025","passed","Sat May 31 12:25:36 GMT 2025","","","",""
"","258","Deve listar carrinho por precoTotal","Testes da API de Carrinhos - Realizar busca por carrinhos","Sat May 31 12:25:05 GMT 2025","passed","Sat May 31 12:25:06 GMT 2025","","","",""
"","56","Não deve permitir criar usuário com nome usando boolean = false","Testes da API de Usuários","Sat May 31 12:26:19 GMT 2025","passed","Sat May 31 12:26:19 GMT 2025","","","",""
"","56","Tentar fazer login com password diferente","Testes da API de Usuários - Login","Sat May 31 12:25:17 GMT 2025","passed","Sat May 31 12:25:17 GMT 2025","","","",""
"","53","Tentar editar produto com descrição vazia","Testes da API de Usuários -> Editar Usuário","Sat May 31 12:25:41 GMT 2025","passed","Sat May 31 12:25:41 GMT 2025","","","",""
"","52","Tentar buscar produto com descrição não cadastrado","Testes da API de Usuários","Sat May 31 12:25:31 GMT 2025","passed","Sat May 31 12:25:31 GMT 2025","","","",""
"","246","Realizar busca por carrinho com ID inválido","Testes da API de Carrinhos - Realizar busca por carrinhos por ID","Sat May 31 12:25:09 GMT 2025","passed","Sat May 31 12:25:10 GMT 2025","","","",""
"","62","Não deve permitir criar usuário com password vazio","Testes da API de Usuários","Sat May 31 12:26:18 GMT 2025","passed","Sat May 31 12:26:18 GMT 2025","","","",""
"","49","Tentar fazer login com email inválido","Testes da API de Usuários - Login","Sat May 31 12:25:17 GMT 2025","passed","Sat May 31 12:25:17 GMT 2025","","","",""
"","55","Tentar editar um novo produto que o preco tenha casas décimais 13.6","Testes da API de Usuários -> Editar Usuário","Sat May 31 12:25:41 GMT 2025","passed","Sat May 31 12:25:41 GMT 2025","","","",""
"","239","Deve buscar por ID do produto e validar propriedade do responde body","Testes da API de Usuários -> Editar Usuário","Sat May 31 12:25:24 GMT 2025","passed","Sat May 31 12:25:25 GMT 2025","","","",""
"","184","Tentar deletar produto com ID inválido","Testes da API de Produtos","Sat May 31 12:25:21 GMT 2025","passed","Sat May 31 12:25:21 GMT 2025","","","",""
"","56","Não deve permitir criar usuário com email usando números","Testes da API de Usuários","Sat May 31 12:26:19 GMT 2025","passed","Sat May 31 12:26:19 GMT 2025","","","",""
"","274","Tentar excluir produto que esteja adicionado ao carrinho","Testes da API de Produtos","Sat May 31 12:25:20 GMT 2025","passed","Sat May 31 12:25:20 GMT 2025","","","",""
"","57","Não deve permitir criar usuário com password usando boolean = false","Testes da API de Usuários","Sat May 31 12:26:20 GMT 2025","passed","Sat May 31 12:26:20 GMT 2025","","","",""
"","55","Tentar criar um novo produto com preco vazio","Testes da API de Produtos","Sat May 31 12:25:35 GMT 2025","passed","Sat May 31 12:25:35 GMT 2025","","","",""
"","56","Não deve permitir criar usuário com email sem dominio","Testes da API de Usuários","Sat May 31 12:26:19 GMT 2025","passed","Sat May 31 12:26:19 GMT 2025","","","",""
"","53","Tentar fazer login com password vazio","Testes da API de Usuários - Login","Sat May 31 12:25:17 GMT 2025","passed","Sat May 31 12:25:17 GMT 2025","","","",""
"","57","Não deve permitir criar usuário com administrador usando boolean = true","Testes da API de Usuários","Sat May 31 12:26:20 GMT 2025","passed","Sat May 31 12:26:20 GMT 2025","","","",""
"","223","Deve adicionar produto no carrinho","Testes da API de Produtos","Sat May 31 12:25:13 GMT 2025","passed","Sat May 31 12:25:13 GMT 2025","","","",""
"","17964","Valida limite real com requisições em alta velocidade","Testar limite de taxas da API cadastrar usuário","Sat May 31 12:25:55 GMT 2025","passed","Sat May 31 12:26:13 GMT 2025","","","",""
"","188","Deve falhar ao editar produto por não ser admin","Testes da API de Usuários -> Editar Usuário","Sat May 31 12:25:41 GMT 2025","passed","Sat May 31 12:25:42 GMT 2025","","","",""
"","54","Deve buscar pelo nome do produto cadastrado","Testes da API de Usuários","Sat May 31 12:25:30 GMT 2025","passed","Sat May 31 12:25:30 GMT 2025","","","",""
"","239","Realizar busca por carrinho com ID não cadastrado","Testes da API de Carrinhos - Realizar busca por carrinhos por ID","Sat May 31 12:25:10 GMT 2025","passed","Sat May 31 12:25:10 GMT 2025","","","",""
"","107","Tentar deletar usuário com ID inválido","Testes da API de Usuários - Deletar Usuário","Sat May 31 12:25:45 GMT 2025","passed","Sat May 31 12:25:45 GMT 2025","","","",""
"","155","Não deve permitir alterar usuário com administrador usando boolean = false","Testes da API de Usuários -> Editar Usuário","Sat May 31 12:26:24 GMT 2025","passed","Sat May 31 12:26:25 GMT 2025","","","",""
"","64","Deve buscar o usuário criado pelo nome","Testes da API de Usuários","Sat May 31 12:25:48 GMT 2025","passed","Sat May 31 12:25:48 GMT 2025","","","",""
"","67","Buscar o usuário pelo email inválido","Testes da API de Usuários","Sat May 31 12:25:49 GMT 2025","passed","Sat May 31 12:25:49 GMT 2025","","","",""
"","288","Tentar deletar usuário que tenha produto no carrinho","Testes da API de Usuários - Deletar Usuário","Sat May 31 12:25:45 GMT 2025","passed","Sat May 31 12:25:45 GMT 2025","","","",""
"","58","Tentar criar um novo produto com nome vazio","Testes da API de Produtos","Sat May 31 12:25:35 GMT 2025","passed","Sat May 31 12:25:35 GMT 2025","","","",""
"","53","Deve falhar ao criar produto com token inválido","Testes da API de Produtos","Sat May 31 12:25:36 GMT 2025","passed","Sat May 31 12:25:36 GMT 2025","","","",""
"","285","Deve listar o primeiro carrinho","Testes da API de Carrinhos - Realizar busca por carrinhos","Sat May 31 12:25:05 GMT 2025","passed","Sat May 31 12:25:05 GMT 2025","","","",""
"","242","Deve listar carrinho por quantidadeTotal","Testes da API de Carrinhos - Realizar busca por carrinhos","Sat May 31 12:25:06 GMT 2025","passed","Sat May 31 12:25:06 GMT 2025","","","",""
"","54","Tentar editar produto com nome vazio","Testes da API de Usuários -> Editar Usuário","Sat May 31 12:25:41 GMT 2025","passed","Sat May 31 12:25:41 GMT 2025","","","",""
"","232","Deve falhar ao concluir carrinho com token inválido","Testes da API de Carrinho - Concluir Compra","Sat May 31 12:25:02 GMT 2025","passed","Sat May 31 12:25:02 GMT 2025","","","",""
"","60","Não deve permitir criar usuário com email o formato fora do padrão","Testes da API de Usuários","Sat May 31 12:26:19 GMT 2025","passed","Sat May 31 12:26:19 GMT 2025","","","",""
"","133","Deve fazer login com usuário criado","Testes da API de Usuários - Login","Sat May 31 12:25:17 GMT 2025","passed","Sat May 31 12:25:17 GMT 2025","","","",""
"","72","Tentar buscar produto com preço não cadastrado","Testes da API de Usuários","Sat May 31 12:25:30 GMT 2025","passed","Sat May 31 12:25:31 GMT 2025","","","",""
"","323","Deve falhar ao deletar produto por não ser admin","Testes da API de Produtos","Sat May 31 12:25:21 GMT 2025","passed","Sat May 31 12:25:22 GMT 2025","","","",""
"","61","Deve atualizar apenas descrição do produto","Testes da API de Usuários -> Editar Usuário","Sat May 31 12:25:41 GMT 2025","passed","Sat May 31 12:25:41 GMT 2025","","","",""
"","52","Tentar fazer login com email vazio","Testes da API de Usuários - Login","Sat May 31 12:25:17 GMT 2025","passed","Sat May 31 12:25:17 GMT 2025","","","",""
"","61","Tentar fazer login com email diferente","Testes da API de Usuários - Login","Sat May 31 12:25:17 GMT 2025","passed","Sat May 31 12:25:17 GMT 2025","","","",""
"","57","Deve buscar produto por ID e validar nome","Testes da API de Usuários -> Editar Usuário","Sat May 31 12:25:25 GMT 2025","passed","Sat May 31 12:25:25 GMT 2025","","","",""
"","58","Não deve permitir criar usuário com email usando espaços","Testes da API de Usuários","Sat May 31 12:26:19 GMT 2025","passed","Sat May 31 12:26:19 GMT 2025","","","",""
"","53","Tentar buscar produto com preço informando números décimais","Testes da API de Usuários","Sat May 31 12:25:31 GMT 2025","passed","Sat May 31 12:25:31 GMT 2025","","","",""
"","59","Tentar criar um novo produto com quantidade vazio","Testes da API de Produtos","Sat May 31 12:25:36 GMT 2025","passed","Sat May 31 12:25:36 GMT 2025","","","",""
"","185","Tentar deletar produto com ID null","Testes da API de Produtos","Sat May 31 12:25:21 GMT 2025","passed","Sat May 31 12:25:21 GMT 2025","","","",""
"","225","Deve atualizar apenas o nome do produto","Testes da API de Usuários -> Editar Usuário","Sat May 31 12:25:40 GMT 2025","passed","Sat May 31 12:25:41 GMT 2025","","","",""
"","210","Deve buscar todos os usuários","Testes da API de Usuários","Sat May 31 12:25:48 GMT 2025","passed","Sat May 31 12:25:48 GMT 2025","","","",""
"","54","Tentar editar produto com quantidade vazia","Testes da API de Usuários -> Editar Usuário","Sat May 31 12:25:41 GMT 2025","passed","Sat May 31 12:25:41 GMT 2025","","","",""
"","57","Deve buscar usuários administrador = False","Testes da API de Usuários","Sat May 31 12:25:49 GMT 2025","passed","Sat May 31 12:25:49 GMT 2025","","","",""
"","52","Validar busca por produto e ID com menos de 16 caracteres alfanuméricos","Testes da API de Usuários -> Editar Usuário","Sat May 31 12:25:25 GMT 2025","passed","Sat May 31 12:25:25 GMT 2025","","","",""
